portname,communityId
"""bbra_rtr,te6/3""",1
"""bbra_rtr,gi4/10""",12
"""bbra_rtr,te1/1""",20
"""bbra_rtr,gi4/9""",20
"""bbra_rtr,te6/4""",20
"""bbra_rtr,te6/2""",20
"""bbra_rtr,te7/3""",20
"""bbra_rtr,te1/3""",20
"""bbra_rtr,gi4/13""",20
"""bbra_rtr,te1/2""",20
"""bbra_rtr,gi4/8""",20
"""bbra_rtr,gi4/11""",20
"""bbra_rtr,gi5/1""",20
"""bbra_rtr,te7/4""",20
"""bbra_rtr,gi3/9""",20
"""roza_rtr,te2/1""",20
"""rozb_rtr,te3/1""",20
"""bbrb_rtr,gi4/6""",20
"""bozb_rtr,te3/1""",20
"""goza_rtr,te2/1""",20
"""pozb_rtr,te3/1""",20
"""yoza_rtr,te1/3""",20
"""yozb_rtr,te2/1""",20
"""bbra_rtr,gi4/7""",23
"""bbra_rtr,gi4/2""",24
"""bbra_rtr,gi4/3""",25
"""bbra_rtr,gi4/12""",28
"""roza_rtr,te2/3""",31
"""roza_rtr,te3/4""",37
"""roza_rtr,po20""",39
"""roza_rtr,gi4/3""",40
"""roza_rtr,gi4/48""",41
"""roza_rtr,gi4/47""",42
"""rozb_rtr,te2/3""",44
"""rozb_rtr,tunnel10""",46
"""rozb_rtr,te3/4""",49
"""rozb_rtr,po25""",50
"""rozb_rtr,gi4/3""",51
"""rozb_rtr,gi1/1""",54
"""rozb_rtr,gi4/47""",55
"""bbra_rtr,gi3/16""",57
"""bbra_rtr,gi4/4""",58
"""bbra_rtr,gi4/5""",59
"""bbra_rtr,gi4/6""",67
"""bbrb_rtr,gi4/4""",67
"""bbrb_rtr,gi4/16""",71
"""bbrb_rtr,tunnel10""",77
"""bbra_rtr,gi4/1""",78
"""bbrb_rtr,gi4/1""",78
"""bbrb_rtr,gi4/2""",82
"""boza_rtr,te2/3""",84
"""boza_rtr,self""",88
"""boza_rtr,te3/3""",88
"""boza_rtr,gi4/46""",88
"""boza_rtr,te2/4""",88
"""boza_rtr,gi4/4""",88
"""boza_rtr,gi4/3""",88
"""boza_rtr,te2/2""",88
"""bozb_rtr,te2/2""",88
"""bozb_rtr,te2/4""",88
"""bozb_rtr,te3/3""",88
"""bozb_rtr,gi4/3""",88
"""boza_rtr,po10""",89
"""boza_rtr,te3/4""",90
"""boza_rtr,gi4/5""",93
"""soza_rtr,self""",99
"""soza_rtr,gi1/2""",99
"""soza_rtr,te3/3""",99
"""soza_rtr,te2/4""",99
"""soza_rtr,te2/2""",99
"""soza_rtr,te3/4""",99
"""sozb_rtr,gi1/1""",99
"""sozb_rtr,te3/3""",99
"""sozb_rtr,te2/2""",99
"""sozb_rtr,te3/4""",99
"""sozb_rtr,te2/4""",99
"""cozb_rtr,te3/1""",99
"""soza_rtr,te2/3""",100
"""sozb_rtr,te2/3""",112
"""pozb_rtr,gi4/47""",123
"""roza_rtr,self""",123
"""roza_rtr,te3/3""",123
"""roza_rtr,te2/4""",123
"""roza_rtr,gi4/46""",123
"""rozb_rtr,self""",123
"""rozb_rtr,te3/3""",123
"""rozb_rtr,te2/2""",123
"""rozb_rtr,te2/4""",123
"""soza_rtr,te2/1""",123
"""sozb_rtr,self""",123
"""bozb_rtr,self""",123
"""yozb_rtr,self""",123
"""cozb_rtr,self""",123
"""goza_rtr,self""",123
"""goza_rtr,te2/4""",123
"""goza_rtr,te3/3""",123
"""goza_rtr,te3/4""",123
"""goza_rtr,gi4/7""",123
"""goza_rtr,gi4/4""",123
"""goza_rtr,gi4/5""",123
"""goza_rtr,gi4/18""",123
"""goza_rtr,gi4/19""",123
"""goza_rtr,gi4/20""",123
"""gozb_rtr,self""",123
"""gozb_rtr,te3/3""",123
"""gozb_rtr,te3/4""",123
"""gozb_rtr,gi4/7""",123
"""gozb_rtr,te2/4""",123
"""gozb_rtr,gi4/4""",123
"""gozb_rtr,gi4/5""",123
"""gozb_rtr,gi4/19""",123
"""gozb_rtr,gi4/20""",123
"""poza_rtr,self""",123
"""poza_rtr,gi1/1""",123
"""poza_rtr,te2/4""",123
"""poza_rtr,te3/3""",123
"""poza_rtr,gi4/46""",123
"""pozb_rtr,self""",123
"""pozb_rtr,te3/3""",123
"""pozb_rtr,te2/4""",123
"""bozb_rtr,te2/3""",125
"""bozb_rtr,tunnel10""",130
"""bozb_rtr,po15""",132
"""bozb_rtr,te3/4""",133
"""bozb_rtr,gi4/4""",135
"""bozb_rtr,gi4/47""",137
"""coza_rtr,te2/3""",141
"""cozb_rtr,te2/3""",150
"""coza_rtr,self""",153
"""coza_rtr,gi1/1""",153
"""coza_rtr,te2/1""",153
"""coza_rtr,te2/4""",153
"""coza_rtr,te3/3""",153
"""coza_rtr,te3/4""",153
"""cozb_rtr,gi1/2""",153
"""cozb_rtr,te3/3""",153
"""cozb_rtr,te3/4""",153
"""cozb_rtr,te2/4""",153
"""sozb_rtr,te3/1""",153
"""goza_rtr,te2/3""",158
"""goza_rtr,gi4/47""",164
"""goza_rtr,gi4/3""",165
"""goza_rtr,gi4/6""",166
"""goza_rtr,po40""",168
"""goza_rtr,gi4/12""",172
"""goza_rtr,gi4/13""",173
"""goza_rtr,gi4/14""",174
"""goza_rtr,gi4/15""",175
"""goza_rtr,gi4/16""",176
"""goza_rtr,gi4/17""",177
"""gozb_rtr,te2/3""",182
"""gozb_rtr,tunnel10""",184
"""gozb_rtr,gi4/3""",189
"""gozb_rtr,gi4/6""",190
"""gozb_rtr,po45""",192
"""gozb_rtr,gi4/12""",197
"""gozb_rtr,gi4/13""",198
"""gozb_rtr,gi4/14""",199
"""gozb_rtr,gi4/15""",200
"""gozb_rtr,gi4/16""",201
"""gozb_rtr,gi4/17""",202
"""gozb_rtr,gi4/18""",203
"""poza_rtr,te2/3""",208
"""bozb_rtr,gi1/2""",211
"""goza_rtr,gi1/2""",211
"""gozb_rtr,gi1/2""",211
"""poza_rtr,gi1/2""",211
"""pozb_rtr,gi1/2""",211
"""yoza_rtr,fa4/46""",211
"""roza_rtr,gi1/2""",211
"""boza_rtr,gi4/47""",211
"""yozb_rtr,gi5/2""",211
"""poza_rtr,te3/4""",214
"""poza_rtr,po30""",216
"""poza_rtr,gi4/3""",217
"""bozb_rtr,gi1/1""",218
"""coza_rtr,gi1/2""",218
"""cozb_rtr,gi1/1""",218
"""goza_rtr,gi4/48""",218
"""gozb_rtr,gi1/1""",218
"""poza_rtr,gi4/48""",218
"""pozb_rtr,gi1/1""",218
"""boza_rtr,gi4/48""",218
"""soza_rtr,gi1/1""",218
"""sozb_rtr,gi1/2""",218
"""pozb_rtr,te2/3""",220
"""pozb_rtr,tunnel10""",223
"""pozb_rtr,po35""",226
"""pozb_rtr,te3/4""",227
"""pozb_rtr,gi4/3""",228
"""yoza_rtr,gi2/3""",234
"""yoza_rtr,gi2/13""",234
"""yoza_rtr,gi2/16""",234
"""yoza_rtr,gi3/3""",234
"""yoza_rtr,gi3/4""",234
"""yoza_rtr,fa4/42""",234
"""yoza_rtr,te7/4""",234
"""yoza_rtr,gi3/11""",234
"""yoza_rtr,gi2/2""",234
"""yoza_rtr,gi2/5""",234
"""yoza_rtr,gi3/5""",234
"""yoza_rtr,gi2/1""",234
"""yoza_rtr,gi3/6""",234
"""yozb_rtr,te2/4""",234
"""bbra_rtr,self""",234
"""bbrb_rtr,self""",234
"""yoza_rtr,self""",234
"""yoza_rtr,gi2/4""",234
"""yoza_rtr,te7/2""",234
"""yoza_rtr,gi2/8""",244
"""yoza_rtr,gi2/9""",244
"""yoza_rtr,gi2/10""",244
"""yoza_rtr,fa4/45""",244
"""yoza_rtr,gi3/15""",247
"""yoza_rtr,fa4/7""",250
"""yoza_rtr,fa4/47""",252
"""yoza_rtr,gi2/15""",253
"""yoza_rtr,fa4/1""",254
"""yoza_rtr,fa4/37""",256
"""yoza_rtr,fa4/39""",256
"""yoza_rtr,gi3/12""",258
"""yoza_rtr,fa4/40""",259
"""yoza_rtr,fa4/2""",260
"""yoza_rtr,fa4/4""",263
"""yoza_rtr,gi5/1""",263
"""coza_rtr,te3/1""",266
"""cozb_rtr,te2/1""",266
"""gozb_rtr,te2/1""",266
"""gozb_rtr,te3/1""",266
"""poza_rtr,te3/1""",266
"""poza_rtr,te2/1""",266
"""bbra_rtr,te6/1""",266
"""bbra_rtr,te7/1""",266
"""bbra_rtr,gi4/16""",266
"""bbra_rtr,gi4/14""",266
"""bbra_rtr,gi4/15""",266
"""bbrb_rtr,te7/1""",266
"""bbrb_rtr,te6/1""",266
"""bbrb_rtr,te7/2""",266
"""bbrb_rtr,gi5/1""",266
"""bbrb_rtr,gi4/15""",266
"""soza_rtr,te3/1""",266
"""sozb_rtr,te2/1""",266
"""bbra_rtr,te1/4""",267
"""bbra_rtr,te7/2""",267
"""roza_rtr,te3/1""",267
"""rozb_rtr,te2/1""",267
"""bbrb_rtr,te7/4""",267
"""bbrb_rtr,te1/3""",267
"""bbrb_rtr,te6/2""",267
"""bbrb_rtr,te1/1""",267
"""bbrb_rtr,te6/3""",267
"""bbrb_rtr,te1/4""",267
"""bbrb_rtr,te1/2""",267
"""bbrb_rtr,gi4/8""",267
"""bbrb_rtr,te6/4""",267
"""bbrb_rtr,te7/3""",267
"""bbrb_rtr,gi4/3""",267
"""boza_rtr,te3/1""",267
"""boza_rtr,te2/1""",267
"""yoza_rtr,te1/2""",267
"""yoza_rtr,fa4/41""",267
"""yoza_rtr,te7/1""",267
"""bozb_rtr,te2/1""",267
"""yoza_rtr,fa4/44""",267
"""yozb_rtr,te1/2""",267
"""yozb_rtr,te1/1""",267
"""yozb_rtr,te1/3""",267
"""yozb_rtr,te1/4""",267
"""goza_rtr,te3/1""",267
"""pozb_rtr,te2/1""",267
"""yoza_rtr,te1/1""",267
"""yoza_rtr,te1/4""",267
