portname,communityId
"""bbra_rtr,gi4/7""",23
"""bbra_rtr,gi4/2""",24
"""bbra_rtr,gi4/3""",25
"""bbra_rtr,gi4/12""",28
"""roza_rtr,te3/4""",37
"""roza_rtr,po20""",39
"""roza_rtr,gi4/3""",40
"""roza_rtr,gi4/48""",41
"""bbra_rtr,te1/1""",44
"""bbra_rtr,gi4/9""",44
"""bbra_rtr,gi4/6""",44
"""bbra_rtr,te6/4""",44
"""bbra_rtr,te6/2""",44
"""bbra_rtr,te1/3""",44
"""bbra_rtr,gi4/10""",44
"""bbra_rtr,gi4/16""",44
"""bbra_rtr,gi4/13""",44
"""bbra_rtr,te1/2""",44
"""bbra_rtr,gi4/8""",44
"""bbra_rtr,gi4/11""",44
"""bbra_rtr,gi4/14""",44
"""bbra_rtr,gi4/15""",44
"""bbra_rtr,gi4/1""",44
"""bbra_rtr,gi5/1""",44
"""bbra_rtr,te7/4""",44
"""bbra_rtr,gi3/9""",44
"""roza_rtr,self""",44
"""roza_rtr,te2/3""",44
"""roza_rtr,te3/3""",44
"""roza_rtr,te3/1""",44
"""roza_rtr,te2/4""",44
"""roza_rtr,gi1/2""",44
"""roza_rtr,te2/1""",44
"""roza_rtr,gi4/46""",44
"""roza_rtr,gi4/47""",44
"""rozb_rtr,te2/3""",44
"""rozb_rtr,te3/3""",44
"""rozb_rtr,te2/2""",44
"""rozb_rtr,te2/4""",44
"""rozb_rtr,gi4/47""",44
"""bbrb_rtr,self""",44
"""bbrb_rtr,gi4/4""",44
"""bbrb_rtr,gi4/16""",44
"""bbrb_rtr,tunnel10""",44
"""bozb_rtr,self""",44
"""bozb_rtr,te2/1""",44
"""bozb_rtr,te3/1""",44
"""bozb_rtr,gi1/1""",44
"""yozb_rtr,self""",44
"""yozb_rtr,te2/1""",44
"""rozb_rtr,te3/4""",49
"""rozb_rtr,po25""",50
"""rozb_rtr,gi4/3""",51
"""rozb_rtr,gi1/1""",54
"""bbra_rtr,gi3/16""",57
"""bbra_rtr,gi4/4""",58
"""bbra_rtr,gi4/5""",59
"""bbra_rtr,te7/2""",64
"""bbrb_rtr,te6/1""",64
"""bbrb_rtr,gi4/6""",64
"""bbrb_rtr,gi4/1""",64
"""sozb_rtr,self""",64
"""sozb_rtr,te3/1""",64
"""sozb_rtr,te2/1""",64
"""coza_rtr,self""",64
"""coza_rtr,gi1/1""",64
"""coza_rtr,te2/1""",64
"""coza_rtr,te3/1""",64
"""coza_rtr,te2/4""",64
"""coza_rtr,te3/3""",64
"""coza_rtr,te3/4""",64
"""gozb_rtr,te2/1""",64
"""poza_rtr,te3/1""",64
"""bbrb_rtr,gi4/15""",80
"""bbrb_rtr,gi4/2""",82
"""boza_rtr,po10""",89
"""boza_rtr,te3/4""",90
"""boza_rtr,gi4/48""",91
"""boza_rtr,gi4/5""",93
"""soza_rtr,te2/3""",97
"""sozb_rtr,gi1/1""",97
"""sozb_rtr,te3/3""",97
"""sozb_rtr,te2/2""",97
"""sozb_rtr,te3/4""",97
"""sozb_rtr,te2/3""",97
"""sozb_rtr,te2/4""",97
"""soza_rtr,gi1/1""",102
"""sozb_rtr,gi1/2""",115
"""bbra_rtr,te6/1""",120
"""bbra_rtr,te7/1""",120
"""rozb_rtr,te2/1""",120
"""soza_rtr,self""",120
"""bbrb_rtr,te7/4""",120
"""bbrb_rtr,te7/1""",120
"""bbrb_rtr,te1/3""",120
"""bbrb_rtr,te7/2""",120
"""bbrb_rtr,gi5/1""",120
"""bbrb_rtr,te6/2""",120
"""bbrb_rtr,te1/1""",120
"""bbrb_rtr,te6/3""",120
"""bbrb_rtr,te1/4""",120
"""bbrb_rtr,te1/2""",120
"""bbrb_rtr,gi4/8""",120
"""bbrb_rtr,te6/4""",120
"""bbrb_rtr,te7/3""",120
"""bbrb_rtr,gi4/3""",120
"""boza_rtr,te3/1""",120
"""soza_rtr,gi1/2""",120
"""soza_rtr,te2/1""",120
"""soza_rtr,te3/3""",120
"""soza_rtr,te3/1""",120
"""soza_rtr,te2/4""",120
"""soza_rtr,te2/2""",120
"""soza_rtr,te3/4""",120
"""yoza_rtr,te1/2""",120
"""yoza_rtr,te7/1""",120
"""yozb_rtr,te1/2""",120
"""yozb_rtr,te1/1""",120
"""yozb_rtr,te1/4""",120
"""cozb_rtr,self""",120
"""cozb_rtr,te3/1""",120
"""cozb_rtr,te2/1""",120
"""goza_rtr,te3/1""",120
"""pozb_rtr,te2/1""",120
"""bozb_rtr,tunnel10""",125
"""bozb_rtr,te3/3""",125
"""bozb_rtr,gi4/3""",125
"""bozb_rtr,gi4/47""",125
"""bbra_rtr,te1/4""",125
"""rozb_rtr,self""",125
"""rozb_rtr,tunnel10""",125
"""rozb_rtr,te3/1""",125
"""boza_rtr,self""",125
"""boza_rtr,te2/3""",125
"""boza_rtr,te2/1""",125
"""boza_rtr,te3/3""",125
"""boza_rtr,gi4/46""",125
"""boza_rtr,te2/4""",125
"""boza_rtr,gi4/4""",125
"""boza_rtr,gi4/3""",125
"""boza_rtr,gi4/47""",125
"""boza_rtr,te2/2""",125
"""bozb_rtr,te2/2""",125
"""bozb_rtr,te2/3""",125
"""bozb_rtr,te2/4""",125
"""bozb_rtr,gi1/2""",129
"""bozb_rtr,po15""",132
"""bozb_rtr,te3/4""",133
"""bozb_rtr,gi4/4""",135
"""coza_rtr,gi1/2""",146
"""coza_rtr,te2/3""",150
"""cozb_rtr,gi1/2""",150
"""cozb_rtr,te2/3""",150
"""cozb_rtr,te3/3""",150
"""cozb_rtr,te3/4""",150
"""cozb_rtr,te2/4""",150
"""cozb_rtr,gi1/1""",155
"""goza_rtr,gi1/2""",160
"""goza_rtr,gi4/3""",165
"""goza_rtr,gi4/6""",166
"""goza_rtr,po40""",168
"""goza_rtr,gi4/48""",169
"""goza_rtr,gi4/12""",172
"""goza_rtr,gi4/13""",173
"""goza_rtr,gi4/14""",174
"""goza_rtr,gi4/15""",175
"""goza_rtr,gi4/16""",176
"""goza_rtr,gi4/17""",177
"""goza_rtr,self""",182
"""goza_rtr,te2/4""",182
"""goza_rtr,te2/3""",182
"""goza_rtr,te2/1""",182
"""goza_rtr,te3/3""",182
"""goza_rtr,te3/4""",182
"""goza_rtr,gi4/47""",182
"""goza_rtr,gi4/7""",182
"""goza_rtr,gi4/4""",182
"""goza_rtr,gi4/5""",182
"""goza_rtr,gi4/18""",182
"""goza_rtr,gi4/19""",182
