portname,communityId
"""bbra_rtr,te1/3""",44
"""roza_rtr,te2/3""",44
"""bbra_rtr,te7/2""",64
"""bbrb_rtr,te6/1""",64
"""soza_rtr,te2/3""",97
"""bbra_rtr,te6/1""",120
"""bbra_rtr,te7/1""",120
"""bbrb_rtr,te7/4""",120
"""bbrb_rtr,te1/3""",120
"""bbrb_rtr,te1/3""",120
"""bbrb_rtr,te7/2""",120
"""bbrb_rtr,te1/1""",120
"""bbrb_rtr,te6/3""",120
"""yoza_rtr,te1/2""",120
"""bbra_rtr,te1/4""",125
"""boza_rtr,te2/3""",125
"""coza_rtr,te2/3""",150
"""bbra_rtr,te7/3""",182
"""goza_rtr,te2/3""",182
"""poza_rtr,te2/3""",220
"""bbra_rtr,te6/3""",268
"""yoza_rtr,te1/1""",268
