portname,score
"""bbrb_rtr,te7/1""",4502.166666666667
"""bbra_rtr,te7/1""",4377.166666666666
"""bbra_rtr,te7/3""",2175.538461538462
"""bbra_rtr,te6/1""",1587.576923076923
"""bbrb_rtr,te1/1""",1550.5384615384614
"""yoza_rtr,te1/2""",1225.0
"""bbrb_rtr,te7/4""",1177.5
"""bbra_rtr,te1/3""",1087.8076923076922
"""bbrb_rtr,te6/3""",1082.3076923076922
"""bbrb_rtr,te7/2""",1051.576923076923
"""yoza_rtr,te7/1""",983.5
"""goza_rtr,te2/1""",940.2692307692307
"""pozb_rtr,te3/1""",940.2692307692307
"""boza_rtr,te2/1""",925.1025641025641
"""bbra_rtr,te1/4""",905.0384615384614
"""bbrb_rtr,te1/3""",902.0384615384614
"""bbra_rtr,te7/2""",894.5384615384615
"""yoza_rtr,te1/3""",881.0
"""pozb_rtr,te2/1""",815.2692307692307
"""goza_rtr,te3/1""",815.2692307692307
"""bbra_rtr,te6/3""",756.0
"""soza_rtr,te2/1""",718.102564102564
"""coza_rtr,te2/1""",709.7692307692307
"""yozb_rtr,te1/2""",684.5
"""yozb_rtr,te1/1""",671.7692307692308
"""boza_rtr,te3/1""",662.6025641025641
"""poza_rtr,te2/1""",654.2692307692307
"""bbrb_rtr,te6/1""",619.5384615384614
"""rozb_rtr,te3/1""",533.6025641025641
"""roza_rtr,te2/1""",498.7692307692305
"""coza_rtr,te3/1""",482.7692307692307
"""soza_rtr,te3/1""",434.1025641025641
"""poza_rtr,te3/1""",397.2692307692307
"""sozb_rtr,te3/1""",377.7692307692307
"""bozb_rtr,te3/1""",342.76923076923043
"""rozb_rtr,te2/1""",340.10256410256403
"""cozb_rtr,te3/1""",294.60256410256414
"""boza_rtr,te2/3""",282.0
"""roza_rtr,te3/1""",271.76923076923083
"""gozb_rtr,te3/1""",258.2692307692308
"""bozb_rtr,te2/3""",242.0
"""sozb_rtr,te2/1""",216.76923076923072
"""soza_rtr,te2/3""",204.0
"""coza_rtr,te2/3""",190.0
"""poza_rtr,te2/3""",184.0
"""bozb_rtr,te2/1""",173.76923076923083
"""sozb_rtr,te2/3""",163.0
"""rozb_rtr,te2/3""",162.0
"""yozb_rtr,te2/1""",159.2692307692309
"""cozb_rtr,te2/3""",148.0
"""cozb_rtr,te2/1""",141.6025641025641
"""pozb_rtr,te2/3""",141.0
"""yoza_rtr,te1/1""",136.0
"""gozb_rtr,te2/1""",109.2692307692308
"""yozb_rtr,te1/3""",81.5
"""roza_rtr,te2/3""",47.0
"""bbra_rtr,gi4/1""",0.0
"""bbra_rtr,te1/2""",0.0
"""bbra_rtr,gi4/16""",0.0
"""bbra_rtr,te1/1""",0.0
"""bbra_rtr,te6/2""",0.0
"""bbra_rtr,gi5/1""",0.0
"""bbra_rtr,self""",0.0
"""bbra_rtr,gi4/8""",0.0
"""bbra_rtr,gi4/14""",0.0
"""bbra_rtr,gi4/6""",0.0
"""bbra_rtr,gi3/9""",0.0
"""bbra_rtr,te6/4""",0.0
"""bbra_rtr,te7/4""",0.0
"""bbra_rtr,gi4/15""",0.0
"""bbra_rtr,gi4/10""",0.0
"""bbra_rtr,gi4/9""",0.0
"""bbra_rtr,gi4/13""",0.0
"""bbra_rtr,gi4/11""",0.0
"""bozb_rtr,te3/3""",0.0
"""bozb_rtr,gi1/1""",0.0
"""bozb_rtr,self""",0.0
"""bbrb_rtr,te1/2""",0.0
"""bbrb_rtr,gi5/1""",0.0
"""bbrb_rtr,gi4/3""",0.0
"""bbrb_rtr,tunnel10""",0.0
"""bbrb_rtr,te6/4""",0.0
"""bbrb_rtr,gi4/8""",0.0
"""bbrb_rtr,te6/2""",0.0
"""bbrb_rtr,te1/4""",0.0
"""bbrb_rtr,gi4/16""",0.0
"""bbrb_rtr,gi4/4""",0.0
"""bbrb_rtr,self""",0.0
"""bbrb_rtr,te7/3""",0.0
"""yoza_rtr,gi3/3""",0.0
"""yoza_rtr,fa4/42""",0.0
"""yoza_rtr,gi2/3""",0.0
"""yoza_rtr,fa4/44""",0.0
"""yoza_rtr,gi3/5""",0.0
"""yoza_rtr,fa4/41""",0.0
"""yoza_rtr,gi2/9""",0.0
"""yoza_rtr,gi5/1""",0.0
"""yoza_rtr,gi3/4""",0.0
"""yoza_rtr,gi2/2""",0.0
"""yoza_rtr,gi2/4""",0.0
"""yoza_rtr,self""",0.0
"""yoza_rtr,gi2/1""",0.0
"""yoza_rtr,te1/4""",0.0
"""yoza_rtr,fa4/4""",0.0
"""yoza_rtr,gi3/11""",0.0
"""yoza_rtr,fa4/39""",0.0
"""yoza_rtr,te7/4""",0.0
"""yoza_rtr,gi2/13""",0.0
"""yoza_rtr,gi2/16""",0.0
"""yoza_rtr,te7/2""",0.0
"""yoza_rtr,fa4/37""",0.0
"""yoza_rtr,gi2/5""",0.0
"""yoza_rtr,gi3/6""",0.0
"""coza_rtr,self""",0.0
"""coza_rtr,te3/4""",0.0
"""coza_rtr,te3/3""",0.0
"""coza_rtr,gi1/1""",0.0
"""coza_rtr,te2/4""",0.0
"""gozb_rtr,self""",0.0
"""roza_rtr,gi4/47""",0.0
"""yozb_rtr,te1/4""",0.0
"""roza_rtr,te3/3""",0.0
"""roza_rtr,gi4/46""",0.0
"""roza_rtr,self""",0.0
"""roza_rtr,te2/4""",0.0
"""yozb_rtr,self""",0.0
"""soza_rtr,te2/4""",0.0
"""soza_rtr,self""",0.0
"""soza_rtr,te3/3""",0.0
"""soza_rtr,gi1/2""",0.0
"""soza_rtr,te2/2""",0.0
"""soza_rtr,te3/4""",0.0
"""sozb_rtr,te3/3""",0.0
"""sozb_rtr,self""",0.0
"""sozb_rtr,gi1/1""",0.0
"""boza_rtr,te2/2""",0.0
"""boza_rtr,gi4/46""",0.0
"""boza_rtr,gi4/4""",0.0
"""boza_rtr,gi4/3""",0.0
"""boza_rtr,te2/4""",0.0
"""boza_rtr,gi4/47""",0.0
"""boza_rtr,te3/3""",0.0
"""boza_rtr,self""",0.0
"""rozb_rtr,gi4/47""",0.0
"""rozb_rtr,tunnel10""",0.0
"""rozb_rtr,self""",0.0
"""poza_rtr,te3/3""",0.0
"""poza_rtr,gi1/1""",0.0
"""poza_rtr,gi4/46""",0.0
"""poza_rtr,self""",0.0
"""poza_rtr,te2/4""",0.0
"""cozb_rtr,gi1/2""",0.0
"""cozb_rtr,self""",0.0
"""yozb_rtr,te2/4""",0.0
"""cozb_rtr,te2/4""",0.0
"""cozb_rtr,te3/4""",0.0
"""cozb_rtr,te3/3""",0.0
"""bozb_rtr,tunnel10""",0.0
"""bozb_rtr,te2/2""",0.0
"""bozb_rtr,gi4/3""",0.0
"""bozb_rtr,gi4/47""",0.0
"""bozb_rtr,te2/4""",0.0
"""rozb_rtr,te2/2""",0.0
"""rozb_rtr,te2/4""",0.0
"""rozb_rtr,te3/3""",0.0
"""sozb_rtr,te2/4""",0.0
"""sozb_rtr,te3/4""",0.0
"""sozb_rtr,te2/2""",0.0
"""pozb_rtr,gi4/47""",0.0
"""pozb_rtr,te2/4""",0.0
"""pozb_rtr,te3/3""",0.0
