p1,p2,similarity
"""bbra_rtr,te6/3""","""yoza_rtr,te1/3""",1.0
"""bbra_rtr,te7/1""","""bbrb_rtr,te7/1""",1.0
"""bbrb_rtr,te7/1""","""bbra_rtr,te7/1""",1.0
"""yoza_rtr,te1/2""","""yozb_rtr,te1/2""",1.0
"""bozb_rtr,te2/3""","""boza_rtr,te2/3""",1.0
"""coza_rtr,te2/3""","""cozb_rtr,te2/3""",1.0
"""cozb_rtr,te2/3""","""coza_rtr,te2/3""",1.0
"""goza_rtr,te2/3""","""gozb_rtr,te2/3""",1.0
"""gozb_rtr,te2/3""","""goza_rtr,te2/3""",1.0
"""roza_rtr,te2/3""","""rozb_rtr,te2/3""",1.0
"""rozb_rtr,te2/3""","""roza_rtr,te2/3""",1.0
"""boza_rtr,te2/3""","""bozb_rtr,te2/3""",1.0
"""poza_rtr,te2/3""","""pozb_rtr,te2/3""",1.0
"""pozb_rtr,te2/3""","""poza_rtr,te2/3""",1.0
"""soza_rtr,te2/3""","""sozb_rtr,te2/3""",1.0
"""sozb_rtr,te2/3""","""soza_rtr,te2/3""",1.0
"""yoza_rtr,te1/3""","""bbra_rtr,te6/3""",1.0
"""yoza_rtr,te1/1""","""yozb_rtr,te1/3""",1.0
"""yozb_rtr,te1/2""","""yoza_rtr,te1/2""",1.0
"""yozb_rtr,te1/3""","""yoza_rtr,te1/1""",1.0
"""bbrb_rtr,te7/4""","""yoza_rtr,te7/1""",0.9987929993964997
"""yoza_rtr,te7/1""","""bbrb_rtr,te7/4""",0.9987929993964997
"""yozb_rtr,te1/1""","""bbrb_rtr,te6/3""",0.7956867196367764
"""bbrb_rtr,te6/3""","""yozb_rtr,te1/1""",0.7956867196367764
"""yozb_rtr,te1/2""","""yoza_rtr,te7/1""",0.7205882352941176
"""yoza_rtr,te1/2""","""yoza_rtr,te7/1""",0.7205882352941176
"""yoza_rtr,te7/1""","""yozb_rtr,te1/2""",0.7205882352941176
