router1,router2,similarity
"""soza_rtr""","""sozb_rtr""",0.767567568
"""boza_rtr""","""bozb_rtr""",0.719298246
"""coza_rtr""","""cozb_rtr""",0.68
"""bbra_rtr""","""bbrb_rtr""",0.631178707
"""goza_rtr""","""gozb_rtr""",0.592833876
"""poza_rtr""","""pozb_rtr""",0.564285714
"""roza_rtr""","""rozb_rtr""",0.501992032
"""yoza_rtr""","""yozb_rtr""",0.251269036
"""sozb_rtr""","""cozb_rtr""",0.231549815
"""gozb_rtr""","""poza_rtr""",0.224938875
"""bbrb_rtr""","""yoza_rtr""",0.202666667
"""bbra_rtr""","""yoza_rtr""",0.191524042
"""soza_rtr""","""cozb_rtr""",0.191231343
"""sozb_rtr""","""coza_rtr""",0.151717557
"""goza_rtr""","""pozb_rtr""",0.126984127
"""pozb_rtr""","""roza_rtr""",0.122093023
"""roza_rtr""","""goza_rtr""",0.109947644
"""roza_rtr""","""bozb_rtr""",0.106666667
"""roza_rtr""","""poza_rtr""",0.106598985
"""roza_rtr""","""gozb_rtr""",0.103194103
"""gozb_rtr""","""pozb_rtr""",0.102689487
"""rozb_rtr""","""boza_rtr""",0.098823529
"""goza_rtr""","""poza_rtr""",0.096774194
"""yozb_rtr""","""roza_rtr""",0.095238095
"""cozb_rtr""","""poza_rtr""",0.094017094
"""rozb_rtr""","""bozb_rtr""",0.093541203
"""bozb_rtr""","""pozb_rtr""",0.091703057
"""poza_rtr""","""soza_rtr""",0.09033877
"""goza_rtr""","""yozb_rtr""",0.086124402
"""goza_rtr""","""bozb_rtr""",0.084677419
"""poza_rtr""","""bozb_rtr""",0.082677165
"""roza_rtr""","""boza_rtr""",0.082191781
"""boza_rtr""","""pozb_rtr""",0.081818182
"""yozb_rtr""","""gozb_rtr""",0.081264108
"""bozb_rtr""","""gozb_rtr""",0.080614203
"""bbrb_rtr""","""yozb_rtr""",0.079893475
"""pozb_rtr""","""yozb_rtr""",0.077720207
"""boza_rtr""","""goza_rtr""",0.075313808
"""boza_rtr""","""poza_rtr""",0.073469388
"""yozb_rtr""","""bozb_rtr""",0.073170732
"""bbra_rtr""","""poza_rtr""",0.071672355
"""boza_rtr""","""gozb_rtr""",0.071570577
"""bbra_rtr""","""yozb_rtr""",0.071012806
"""bbra_rtr""","""gozb_rtr""",0.070627803
"""poza_rtr""","""yozb_rtr""",0.068807339
"""pozb_rtr""","""rozb_rtr""",0.067605634
"""bbrb_rtr""","""boza_rtr""",0.066095471
"""cozb_rtr""","""gozb_rtr""",0.065650645
"""bbrb_rtr""","""bozb_rtr""",0.064209275
"""rozb_rtr""","""yozb_rtr""",0.062663185
"""gozb_rtr""","""soza_rtr""",0.061371841
"""rozb_rtr""","""goza_rtr""",0.061068702
"""bbrb_rtr""","""gozb_rtr""",0.060150376
"""rozb_rtr""","""poza_rtr""",0.059259259
"""bozb_rtr""","""bbra_rtr""",0.057955743
"""rozb_rtr""","""gozb_rtr""",0.057416268
"""soza_rtr""","""coza_rtr""",0.057037718
"""coza_rtr""","""poza_rtr""",0.056396149
"""bbra_rtr""","""goza_rtr""",0.055618615
"""coza_rtr""","""gozb_rtr""",0.055405405
"""bbrb_rtr""","""goza_rtr""",0.053915276
"""bbrb_rtr""","""poza_rtr""",0.053097345
"""soza_rtr""","""pozb_rtr""",0.051347882
"""boza_rtr""","""yozb_rtr""",0.05
"""cozb_rtr""","""pozb_rtr""",0.049627792
"""roza_rtr""","""bbrb_rtr""",0.048322148
"""bbrb_rtr""","""pozb_rtr""",0.048192771
"""rozb_rtr""","""bbrb_rtr""",0.047361299
"""sozb_rtr""","""poza_rtr""",0.046275395
"""sozb_rtr""","""gozb_rtr""",0.045606229
"""bbra_rtr""","""pozb_rtr""",0.043274854
"""bbra_rtr""","""boza_rtr""",0.039236479
"""boza_rtr""","""bbra_rtr""",0.039236479
"""yoza_rtr""","""goza_rtr""",0.0375
"""yoza_rtr""","""gozb_rtr""",0.036548223
"""bbra_rtr""","""roza_rtr""",0.036088475
"""roza_rtr""","""bbra_rtr""",0.036088475
"""yoza_rtr""","""roza_rtr""",0.032397408
"""yoza_rtr""","""pozb_rtr""",0.032327586
"""yoza_rtr""","""poza_rtr""",0.030674847
"""coza_rtr""","""bbra_rtr""",0.030354132
"""yoza_rtr""","""bozb_rtr""",0.028846154
"""soza_rtr""","""bbra_rtr""",0.028771384
"""coza_rtr""","""roza_rtr""",0.028735632
"""coza_rtr""","""pozb_rtr""",0.028653295
"""cozb_rtr""","""bbra_rtr""",0.028179741
"""rozb_rtr""","""bbra_rtr""",0.027939464
"""coza_rtr""","""yozb_rtr""",0.027548209
"""coza_rtr""","""goza_rtr""",0.027173913
"""sozb_rtr""","""bbra_rtr""",0.026765799
"""yoza_rtr""","""rozb_rtr""",0.025945946
"""soza_rtr""","""roza_rtr""",0.025094103
"""cozb_rtr""","""roza_rtr""",0.024271845
"""soza_rtr""","""yozb_rtr""",0.024183797
"""soza_rtr""","""goza_rtr""",0.023894863
"""cozb_rtr""","""yozb_rtr""",0.023419204
"""sozb_rtr""","""roza_rtr""",0.023391813
"""sozb_rtr""","""pozb_rtr""",0.023337223
"""cozb_rtr""","""goza_rtr""",0.023148148
"""sozb_rtr""","""yozb_rtr""",0.02259887
"""sozb_rtr""","""goza_rtr""",0.022346369
